Name,Position,Organization,Type
Jatna Supriatna,Advisory Board Director,Konservasi Indonesia,ENGO
Jatna Supriatna,Chairman,"Institute for Sustainable Earth and Resources, University of Indonesia",Research Center
dr. Eki Tan,Advisory Board Member,Konservasi Indonesia,ENGO
dr. Eki Tan,Executive Chairman,Giti Tire Company Limited,Corporation
dr. Eki Tan,Director,PT Gajah Tunggal Tbk,Corporation
dr. Eki Tan,Vice Chairman,Gul Technologies Ltd,Corporation
dr. Eki Tan,President Director,Bukit Baiduri Energi,Corporation
dr. Eki Tan,Board Member,"United Pacific Bank, California",Bank
dr. Eki Tan,Executive Board,MIT Sloan School of Management Asia,University
dr. Eki Tan,Advisory Council Member,Columbia International University,University
dr. Eki Tan,Member,Synergos Global Philanthropic Circle of New York,Philantrophy
Richard Jeo,Advisory Board Member,Konservasi Indonesia,ENGO
Daniela Beth Raik,Advisory Board Member,Konservasi Indonesia,ENGO
Debby Ferdiany,Chairman of the Board of Supervisors,Konservasi Indonesia,ENGO
Frila Noor,Member of Board of Supervisors,Konservasi Indonesia,ENGO
